Ranking,Institution,Faculty Count,Average of Places From Four Metrics,Country,Continent
1,Univ. of California - Berkeley,115,0.75,USA,North America
2,Massachusetts Institute of Technology,116,3.5,USA,North America
3,Stanford University,72,4.5,USA,North America
4,Carnegie Mellon University,185,10.5,USA,North America
5,Columbia University,61,11.75,USA,North America
6,Univ. of California - San Diego,128,16.25,USA,North America
7,Max Planck Society,42,16.5,Germany,Europe
8,Univ. of California - Los Angeles,47,18.75,USA,North America
9,EPFL,70,19.0,Switzerland,Europe
10,Cornell University,87,19.0,USA,North America
11,Univ. of Illinois at Urbana-Champaign,127,19.5,USA,North America
12,University of Pennsylvania,65,19.75,USA,North America
13,Princeton University,45,22.0,USA,North America
14,ETH Zurich,50,22.0,Switzerland,Europe
15,University of Maryland - College Park,106,26.25,USA,North America
16,University of Washington,80,27.0,USA,North America
17,Nanyang Technological University,75,27.25,Singapore,Asia
18,HKUST,61,27.25,Hong Kong,Asia
19,University College London,91,30.5,UK,Europe
20,University of Southern California,60,32.25,USA,North America
21,Harvard University,34,33.25,USA,North America
22,University of Edinburgh,117,36.0,UK,Europe
23,New York University,73,36.75,USA,North America
24,Georgia Institute of Technology,115,36.75,USA,North America
25,Johns Hopkins University,35,38.75,USA,North America
26,University of Minnesota,47,39.0,USA,North America
27,University of Texas at Austin,58,40.0,USA,North America
28,Univ. of California - Irvine,81,40.5,USA,North America
29,University of Oxford,77,44.0,UK,Europe
30,Weizmann Institute of Science,28,44.25,Israel,Asia
31,Northeastern University,86,45.0,USA,North America
32,Pennsylvania State University,65,46.0,USA,North America
33,University of Michigan,103,47.75,USA,North America
34,University of Toronto,107,48.0,Canada,North America
35,TU Munich,61,51.0,Germany,Europe
36,Imperial College London,68,53.5,UK,Europe
37,Duke University,59,54.0,USA,North America
38,University of Alberta,56,58.75,Canada,North America
39,Chinese University of Hong Kong,46,61.0,Hong Kong,Asia
40,University of Montreal,47,62.75,Canada,North America
41,Michigan State University,38,63.75,USA,North America
42,TU Berlin,50,64.75,Germany,Europe
43,Univ. of California - Santa Barbara,47,64.75,USA,North America
44,Tsinghua University,160,65.25,China,Asia
45,California Institute of Technology,18,70.5,USA,North America
46,Hebrew University of Jerusalem,49,71.0,Israel,Asia
47,Technion,101,71.75,Israel,Asia
48,Stony Brook University,64,73.5,USA,North America
49,University of Chicago,51,74.75,USA,North America
50,University of Wisconsin - Madison,75,75.75,USA,North America
51,University of Cambridge,54,75.75,UK,Europe
52,Università della Svizzera italiana,30,77.25,Switzerland,Europe
53,Purdue University,87,78.75,USA,North America
54,University of Freiburg,17,80.25,Germany,Europe
55,University of North Carolina,45,81.0,USA,North America
56,Western University,22,81.75,Canada,North America
57,Brown University,38,82.0,USA,North America
58,Yale University,36,83.5,USA,North America
59,LMU Munich,30,83.75,Germany,Europe
60,University of Tennessee,45,84.0,USA,North America
61,University of Melbourne,68,84.5,Australia,Australia
62,University of Utah,72,85.5,USA,North America
63,Univ. of California - Davis,51,85.5,USA,North America
64,University of Rochester,25,85.75,USA,North America
65,University of Notre Dame,33,87.0,USA,North America
66,Vanderbilt University,48,88.25,USA,North America
67,National University of Singapore,79,89.0,Singapore,Asia
68,University of British Columbia,65,89.25,Canada,North America
69,Tel Aviv University,51,89.5,Israel,Asia
70,University of Kansas,41,90.5,USA,North America
71,RWTH Aachen,34,93.5,Germany,Europe
72,Rice University,33,94.25,USA,North America
73,KAUST,22,96.25,Saudi Arabia,Asia
74,Ecole Normale Superieure,32,96.75,France,Europe
75,Queen’s University,31,98.25,Canada,North America
76,KAIST,110,99.0,South Korea,Asia
77,Washington University in St. Louis,30,99.75,USA,North America
78,University of Tübingen,40,99.75,Germany,Europe
79,The Hong Kong Polytechnic University,17,101.75,Hong Kong,Asia
80,Simon Fraser University,60,102.5,Canada,North America
81,University of Sydney,47,103.0,Australia,Australia
82,Rutgers University,61,103.5,USA,North America
83,Indiana University,110,103.75,USA,North America
84,Shanghai Jiao Tong University,97,106.0,China,Asia
85,Victoria University of Wellington,46,106.25,New Zealand,Australia
86,Graz University of Technology,56,107.0,Austria,Europe
87,University of Manchester,39,107.75,UK,Europe
88,University of Stuttgart,35,109.0,Germany,Europe
89,University of Waterloo,107,111.0,Canada,North America
90,Karlsruhe Institute of Technology,34,112.25,Germany,Europe
91,University of Texas at Arlington,36,112.5,USA,North America
92,Univ. of California - Riverside,48,113.75,USA,North America
93,University of Massachusetts Amherst,67,114.0,USA,North America
94,University of Waikato,29,114.25,New Zealand,Australia
95,University of Amsterdam,26,117.0,Netherlands,Europe
96,Arizona State University,44,117.75,USA,North America
97,University of Queensland,51,118.25,Australia,Australia
98,University at Buffalo,52,118.5,USA,North America
99,VU Amsterdam,55,118.5,Netherlands,Europe
100,Ohio State University,42,118.75,USA,North America
101,University of Trento,42,119.0,Italy,Europe
102,Chinese Academy of Sciences,76,119.25,China,Asia
103,Peking University,169,119.75,China,Asia
104,University of Kent,48,121.0,UK,Europe
105,CWI,32,121.5,Netherlands,Europe
106,Northwestern University,50,124.75,USA,North America
107,TU Darmstadt,31,126.0,Germany,Europe
