Ranking,Institution,Faculty Count,Total Citations,Country,Continent
1,Univ. of California - Berkeley,115,3412088.0,USA,North America
2,Carnegie Mellon University,185,2977857.0,USA,North America
3,Massachusetts Institute of Technology,116,2728678.0,USA,North America
4,Univ. of California - San Diego,128,2190653.0,USA,North America
5,Stanford University,72,1959089.0,USA,North America
6,Univ. of Illinois at Urbana-Champaign,127,1642744.0,USA,North America
7,Columbia University,61,1505533.0,USA,North America
8,Cornell University,87,1419189.0,USA,North America
9,University of Edinburgh,117,1367369.0,UK,Europe
10,Max Planck Society,42,1296688.0,Germany,Europe
11,University of Maryland - College Park,106,1230308.0,USA,North America
12,Georgia Institute of Technology,115,1124395.0,USA,North America
13,University of Pennsylvania,65,1058493.0,USA,North America
14,University of Toronto,107,1055695.0,Canada,North America
15,University College London,91,1052402.0,UK,Europe
16,EPFL,70,1045852.0,Switzerland,Europe
17,Northeastern University,86,1041399.0,USA,North America
18,Univ. of California - Los Angeles,47,1029429.0,USA,North America
19,Princeton University,45,1022740.0,USA,North America
20,University of Washington,80,1014503.0,USA,North America
21,University of Montreal,47,1003163.0,Canada,North America
22,University of Michigan,103,934734.0,USA,North America
23,Nanyang Technological University,75,919080.0,Singapore,Asia
24,KAIST,110,916797.0,South Korea,Asia
25,HKUST,61,912535.0,Hong Kong,Asia
26,New York University,73,886044.0,USA,North America
27,ETH Zurich,50,882597.0,Switzerland,Europe
28,Tsinghua University,160,850124.0,China,Asia
29,Univ. of California - Irvine,81,828097.0,USA,North America
30,University of Texas at Austin,58,805196.0,USA,North America
31,Pennsylvania State University,65,800042.0,USA,North America
32,University of Oxford,77,784715.0,UK,Europe
33,Indiana University,110,760184.0,USA,North America
34,University of Southern California,60,756369.0,USA,North America
35,Harvard University,34,717786.0,USA,North America
36,Purdue University,87,715094.0,USA,North America
37,Technion,101,708329.0,Israel,Asia
38,University of Minnesota,47,702944.0,USA,North America
39,Johns Hopkins University,35,697994.0,USA,North America
40,Imperial College London,68,697417.0,UK,Europe
41,University of Wisconsin - Madison,75,673279.0,USA,North America
42,Duke University,59,645356.0,USA,North America
43,University of Waterloo,107,634228.0,Canada,North America
44,Universidade de Lisboa,160,628434.0,Portugal,Europe
45,Shanghai Jiao Tong University,97,627961.0,China,Asia
46,University of Alberta,56,611642.0,Canada,North America
47,University of Kansas,41,603823.0,USA,North America
48,Peking University,169,603065.0,China,Asia
49,Weizmann Institute of Science,28,592822.0,Israel,Asia
50,University of Melbourne,68,592307.0,Australia,Australia
51,TU Munich,61,577403.0,Germany,Europe
52,National University of Singapore,79,572931.0,Singapore,Asia
53,University of Waikato,29,572789.0,New Zealand,Australia
54,University of Chicago,51,538696.0,USA,North America
55,Michigan State University,38,534827.0,USA,North America
56,Stony Brook University,64,533909.0,USA,North America
57,University of Utah,72,532779.0,USA,North America
58,CUNY,82,519697.0,USA,North America
59,Monash University,93,511536.0,Australia,Australia
60,University of Massachusetts Amherst,67,507820.0,USA,North America
61,University of British Columbia,65,506378.0,Canada,North America
62,Hebrew University of Jerusalem,49,502775.0,Israel,Asia
63,Western University,22,497580.0,Canada,North America
64,University of Cambridge,54,496531.0,UK,Europe
65,TU Berlin,50,482730.0,Germany,Europe
66,Chinese Academy of Sciences,76,480272.0,China,Asia
67,Chinese University of Hong Kong,46,471493.0,Hong Kong,Asia
68,Simon Fraser University,60,468347.0,Canada,North America
69,University of Colorado Boulder,79,466085.0,USA,North America
70,California Institute of Technology,18,454131.0,USA,North America
71,Univ. of California - Davis,51,452889.0,USA,North America
72,Univ. of California - Santa Barbara,47,452548.0,USA,North America
73,University of Illinois at Chicago,59,446668.0,USA,North America
74,Rutgers University,61,444934.0,USA,North America
75,University of Sydney,47,442596.0,Australia,Australia
76,Università della Svizzera italiana,30,432913.0,Switzerland,Europe
77,TU Delft,77,431631.0,Netherlands,Europe
78,Zhejiang University,108,426971.0,China,Asia
79,University of North Carolina,45,423689.0,USA,North America
80,Politecnico di Milano,87,419099.0,Italy,Europe
81,University of Tennessee,45,419087.0,USA,North America
82,Graz University of Technology,56,416489.0,Austria,Europe
83,Brown University,38,415291.0,USA,North America
84,University of Central Florida,66,414692.0,USA,North America
85,Univ. of California - Santa Cruz,70,414197.0,USA,North America
86,University of Southampton,82,412974.0,UK,Europe
87,University of Kent,48,411006.0,UK,Europe
88,VU Amsterdam,55,401915.0,Netherlands,Europe
89,Victoria University of Wellington,46,396567.0,New Zealand,Australia
90,University of Notre Dame,33,396232.0,USA,North America
91,University at Buffalo,52,392470.0,USA,North America
92,Tel Aviv University,51,390314.0,Israel,Asia
93,University of Freiburg,17,388417.0,Germany,Europe
94,Ecole Normale Superieure,32,387156.0,France,Europe
95,University of Rochester,25,386869.0,USA,North America
96,Yale University,36,379732.0,USA,North America
97,Rochester Institute of Technology,99,376869.0,USA,North America
98,University of Texas at Arlington,36,369263.0,USA,North America
99,Vanderbilt University,48,367450.0,USA,North America
100,University of Tokyo,87,363031.0,Japan,Asia
101,University of Queensland,51,360569.0,Australia,Australia
102,Univ. of California - Riverside,48,359919.0,USA,North America
103,Texas A&M University,61,358623.0,USA,North America
104,University of Manchester,39,357020.0,UK,Europe
105,North Carolina State University,63,356367.0,USA,North America
106,University of Tübingen,40,351139.0,Germany,Europe
107,Boston University,43,347770.0,USA,North America
108,Rice University,33,346540.0,USA,North America
109,UNSW,70,344534.0,Australia,Australia
110,LMU Munich,30,344118.0,Germany,Europe
111,Washington University in St. Louis,30,341310.0,USA,North America
112,Sapienza University of Rome,88,339270.0,Italy,Europe
113,Oregon State University,65,337553.0,USA,North America
114,Harbin Institute of Technology,101,337261.0,China,Asia
115,Arizona State University,44,336878.0,USA,North America
116,Australian National University,64,331857.0,Australia,Oceania
117,George Mason University,64,329049.0,USA,North America
118,KU Leuven,49,327914.0,Belgium,Europe
119,TU Eindhoven,53,326459.0,Netherlands,Europe
120,Seoul National University,58,321211.0,South Korea,Asia
121,York University,43,321149.0,Canada,North America
