Ranking,Institution,Faculty Count,Total h-index,Country,Continent
1,Carnegie Mellon University,185,8245.0,USA,North America
2,Univ. of California - Berkeley,115,6551.0,USA,North America
3,Massachusetts Institute of Technology,116,5684.0,USA,North America
4,Univ. of Illinois at Urbana-Champaign,127,5207.0,USA,North America
5,Univ. of California - San Diego,128,5182.0,USA,North America
6,Georgia Institute of Technology,115,4233.0,USA,North America
7,University of Maryland - College Park,106,4191.0,USA,North America
8,University of Edinburgh,117,3843.0,UK,Europe
9,Stanford University,72,3821.0,USA,North America
10,University of Michigan,103,3661.0,USA,North America
11,Universidade de Lisboa,160,3619.0,Portugal,Europe
12,Tsinghua University,160,3495.0,China,Asia
13,University of Toronto,107,3458.0,Canada,North America
14,University of Washington,80,3381.0,USA,North America
15,Cornell University,87,3381.0,USA,North America
16,University College London,91,3267.0,UK,Europe
17,Northeastern University,86,3109.0,USA,North America
18,EPFL,70,3064.0,Switzerland,Europe
19,Peking University,169,3057.0,China,Asia
20,Indiana University,110,3022.0,USA,North America
21,Technion,101,3013.0,Israel,Asia
22,Nanyang Technological University,75,2962.0,Singapore,Asia
23,Columbia University,61,2941.0,USA,North America
24,University of Pennsylvania,65,2921.0,USA,North America
25,KAIST,110,2850.0,South Korea,Asia
26,University of Oxford,77,2845.0,UK,Europe
27,New York University,73,2826.0,USA,North America
28,Univ. of California - Irvine,81,2812.0,USA,North America
29,Shanghai Jiao Tong University,97,2765.0,China,Asia
30,University of Waterloo,107,2712.0,Canada,North America
31,National University of Singapore,79,2514.0,Singapore,Asia
32,Imperial College London,68,2498.0,UK,Europe
33,HKUST,61,2454.0,Hong Kong,Asia
34,University of Wisconsin - Madison,75,2431.0,USA,North America
35,Purdue University,87,2381.0,USA,North America
36,TU Delft,77,2345.0,Netherlands,Europe
37,Monash University,93,2323.0,Australia,Australia
38,University of Utah,72,2313.0,USA,North America
39,ETH Zurich,50,2302.0,Switzerland,Europe
40,University of Southern California,60,2302.0,USA,North America
41,Univ. of California - Los Angeles,47,2288.0,USA,North America
42,University of Melbourne,68,2282.0,Australia,Australia
43,Stony Brook University,64,2271.0,USA,North America
44,University of Colorado Boulder,79,2252.0,USA,North America
45,Chinese Academy of Sciences,76,2249.0,China,Asia
46,Pennsylvania State University,65,2221.0,USA,North America
47,Politecnico di Milano,87,2213.0,Italy,Europe
48,Max Planck Society,42,2190.0,Germany,Europe
49,Zhejiang University,108,2176.0,China,Asia
50,TU Munich,61,2156.0,Germany,Europe
51,University of Southampton,82,2147.0,UK,Europe
52,Princeton University,45,2138.0,USA,North America
53,Sapienza University of Rome,88,2125.0,Italy,Europe
54,University of British Columbia,65,2119.0,Canada,North America
55,University of Texas at Austin,58,2119.0,USA,North America
56,CUNY,82,2117.0,USA,North America
57,Duke University,59,2042.0,USA,North America
58,Texas A&M University,61,2003.0,USA,North America
59,Rutgers University,61,1925.0,USA,North America
60,University of Massachusetts Amherst,67,1905.0,USA,North America
61,Univ. of California - Santa Cruz,70,1890.0,USA,North America
62,KTH Royal Institute of Technology,75,1854.0,Sweden,Europe
63,Harbin Institute of Technology,101,1851.0,China,Asia
64,University of Cambridge,54,1845.0,UK,Europe
65,University of Tokyo,87,1844.0,Japan,Asia
66,University of Minnesota,47,1829.0,USA,North America
67,Chinese University of Hong Kong,46,1806.0,Hong Kong,Asia
68,University of Central Florida,66,1797.0,USA,North America
69,Graz University of Technology,56,1787.0,Austria,Europe
70,University of Alberta,56,1787.0,Canada,North America
71,Hebrew University of Jerusalem,49,1779.0,Israel,Asia
72,CRIStAL,132,1777.0,France,Europe
73,University at Buffalo,52,1775.0,USA,North America
74,University of Liverpool,76,1774.0,UK,Europe
75,Seoul National University,58,1771.0,South Korea,Asia
76,Harvard University,34,1758.0,USA,North America
77,TU Berlin,50,1731.0,Germany,Europe
78,Nanjing University,103,1711.0,China,Asia
79,KU Leuven,49,1689.0,Belgium,Europe
80,VU Amsterdam,55,1676.0,Netherlands,Europe
81,Univ. of California - Santa Barbara,47,1659.0,USA,North America
82,University of Queensland,51,1653.0,Australia,Australia
83,UESTC,130,1652.0,China,Asia
84,UNSW,70,1641.0,Australia,Australia
85,Virginia Tech,68,1635.0,USA,North America
86,Univ. of California - Davis,51,1619.0,USA,North America
87,Johns Hopkins University,35,1617.0,USA,North America
88,Simon Fraser University,60,1610.0,Canada,North America
89,Vanderbilt University,48,1605.0,USA,North America
90,George Mason University,64,1592.0,USA,North America
91,Northwestern University,50,1583.0,USA,North America
92,University of Salerno,70,1559.0,Italy,Europe
93,Radboud University,58,1559.0,Netherlands,Europe
94,University of North Carolina,45,1555.0,USA,North America
95,Rochester Institute of Technology,99,1554.0,USA,North America
96,Tel Aviv University,51,1553.0,Israel,Asia
97,University of Tennessee,45,1545.0,USA,North America
98,Uppsala University,75,1543.0,Sweden,Europe
99,Univ. of California - Riverside,48,1534.0,USA,North America
100,University of Copenhagen,68,1531.0,Denmark,Europe
101,University of Chicago,51,1521.0,USA,North America
102,North Carolina State University,63,1515.0,USA,North America
103,University of York,51,1508.0,UK,Europe
104,TU Wien,64,1506.0,Austria,Europe
105,University of Essex,70,1503.0,UK,Europe
106,IT University of Copenhagen,85,1493.0,Denmark,Europe
107,Xidian University,61,1486.0,China,Asia
108,TU Eindhoven,53,1484.0,Netherlands,Europe
109,University of Sydney,47,1475.0,Australia,Australia
110,University of Trento,42,1474.0,Italy,Europe
111,Australian National University,64,1468.0,Australia,Oceania
112,Oregon State University,65,1464.0,USA,North America
113,University of Montreal,47,1463.0,Canada,North America
114,University of Pittsburgh,50,1458.0,USA,North America
115,University of Texas at Dallas,58,1456.0,USA,North America
116,Weizmann Institute of Science,28,1413.0,Israel,Asia
117,University of Kent,48,1413.0,UK,Europe
118,University of Sheffield,53,1410.0,UK,Europe
119,Michigan State University,38,1403.0,USA,North America
120,University of Manchester,39,1402.0,UK,Europe
121,UFMG,60,1399.0,Brazil,South America
122,Ohio State University,42,1386.0,USA,North America
123,Boston University,43,1381.0,USA,North America
124,City University of Hong Kong,44,1362.0,Hong Kong,Asia
125,University of Ottawa,46,1361.0,Canada,North America
126,University of Illinois at Chicago,59,1361.0,USA,North America
127,University of Tübingen,40,1352.0,Germany,Europe
128,University of Nottingham,47,1349.0,UK,Europe
129,Brown University,38,1341.0,USA,North America
130,University of Technology Sydney,55,1338.0,Australia,Australia
131,Arizona State University,44,1334.0,USA,North America
132,Yale University,36,1332.0,USA,North America
133,Queen Mary University of London,36,1322.0,UK,Europe
134,Victoria University of Wellington,46,1313.0,New Zealand,Australia
135,Aalto University,50,1311.0,Finland,Europe
136,University of Virginia,42,1307.0,USA,North America
137,University of Warwick,49,1305.0,UK,Europe
138,Fudan University,83,1297.0,China,Asia
139,Singapore Management University,43,1266.0,Singapore,Asia
140,Polytechnic University of Catalonia,61,1252.0,Spain,Europe
