Ranking,Institution,Faculty Count,Average h-index,Country,Continent
1,Westlake University,3,67.67,China,Asia
2,Univ. of California - Berkeley,115,64.86,USA,North America
3,California Institute of Technology,18,61.2,USA,North America
4,Stanford University,72,60.65,USA,North America
5,Weizmann Institute of Science,28,58.88,Israel,Asia
6,Massachusetts Institute of Technology,116,58.0,USA,North America
7,NYU Shanghai,3,57.33,China,Asia
8,University of Freiburg,17,56.38,Germany,Europe
9,Max Planck Society,42,56.15,Germany,Europe
10,ETH Zurich,50,56.15,Switzerland,Europe
11,Univ. of California - Los Angeles,47,55.8,USA,North America
12,Harvard University,34,54.94,USA,North America
13,Princeton University,45,53.45,USA,North America
14,Columbia University,61,52.52,USA,North America
15,Western University,22,51.86,Canada,North America
16,The Hong Kong Polytechnic University,17,51.18,Hong Kong,Asia
17,Hasso Plattner Institute,18,50.62,Germany,Europe
18,Johns Hopkins University,35,50.53,USA,North America
19,EPFL,70,50.23,Switzerland,Europe
20,Carnegie Mellon University,185,48.79,USA,North America
21,University of Pennsylvania,65,47.89,USA,North America
22,University of Rochester,25,47.58,USA,North America
23,LMU Munich,30,47.57,Germany,Europe
24,University of Southern California,60,46.98,USA,North America
25,NWPU,20,46.93,China,Asia
26,TTI Chicago,13,46.92,USA,North America
27,University of Bremen,20,46.62,Germany,Europe
28,KAUST,22,46.33,Saudi Arabia,Asia
29,HKUST,61,46.3,Hong Kong,Asia
30,Nanyang Technological University,75,46.28,Singapore,Asia
31,University of Bern,4,45.75,Switzerland,Europe
32,University of Minnesota,47,45.73,USA,North America
33,Univ. of Illinois at Urbana-Champaign,127,45.28,USA,North America
34,University of Washington,80,45.08,USA,North America
35,Queen’s University,31,45.05,Canada,North America
36,University of Southern Mississippi,13,44.0,USA,North America
37,Cornell University,87,43.91,USA,North America
38,RWTH Aachen,34,43.82,Germany,Europe
39,Univ. of California - San Diego,128,43.55,USA,North America
40,University of Maryland - College Park,106,43.21,USA,North America
41,TU Munich,61,43.12,Germany,Europe
42,Chinese University of Hong Kong,46,43.0,Hong Kong,Asia
43,University of Mannheim,10,43.0,Germany,Europe
44,University of Stuttgart,35,42.75,Germany,Europe
45,Università della Svizzera italiana,30,42.73,Switzerland,Europe
46,Univ. of California - Santa Barbara,47,42.54,USA,North America
47,University of Texas at Austin,58,42.38,USA,North America
48,Yale University,36,41.62,USA,North America
49,New York University,73,41.56,USA,North America
50,University College London,91,41.35,UK,Europe
51,Univ. of California - Irvine,81,41.35,USA,North America
