Ranking,Institution,Average of Places From Four Metrics,Country,Continent
1,Univ. of California - Berkeley,0.75,USA,North America
2,Massachusetts Institute of Technology,3.5,USA,North America
3,Stanford University,4.5,USA,North America
4,Carnegie Mellon University,10.5,USA,North America
5,Columbia University,11.75,USA,North America
6,Univ. of California - San Diego,16.25,USA,North America
7,Max Planck Society,16.5,Germany,Europe
8,Univ. of California - Los Angeles,18.75,USA,North America
9,EPFL,19.0,Switzerland,Europe
10,Cornell University,19.0,USA,North America
11,Univ. of Illinois at Urbana-Champaign,19.5,USA,North America
12,University of Pennsylvania,19.75,USA,North America
13,Princeton University,22.0,USA,North America
14,ETH Zurich,22.0,Switzerland,Europe
15,University of Maryland - College Park,26.25,USA,North America
16,University of Washington,27.0,USA,North America
17,Nanyang Technological University,27.25,Singapore,Asia
18,HKUST,27.25,Hong Kong,Asia
19,University College London,30.5,UK,Europe
20,University of Southern California,32.25,USA,North America
21,Harvard University,33.25,USA,North America
22,University of Edinburgh,36.0,UK,Europe
23,New York University,36.75,USA,North America
24,Georgia Institute of Technology,36.75,USA,North America
25,Johns Hopkins University,38.75,USA,North America
26,University of Minnesota,39.0,USA,North America
27,University of Texas at Austin,40.0,USA,North America
28,Univ. of California - Irvine,40.5,USA,North America
29,University of Oxford,44.0,UK,Europe
30,Weizmann Institute of Science,44.25,Israel,Asia
31,Northeastern University,45.0,USA,North America
32,Pennsylvania State University,46.0,USA,North America
33,University of Michigan,47.75,USA,North America
34,University of Toronto,48.0,Canada,North America
35,TU Munich,51.0,Germany,Europe
36,Imperial College London,53.5,UK,Europe
37,Duke University,54.0,USA,North America
38,University of Alberta,58.75,Canada,North America
39,Chinese University of Hong Kong,61.0,Hong Kong,Asia
40,University of Montreal,62.75,Canada,North America
41,Michigan State University,63.75,USA,North America
42,TU Berlin,64.75,Germany,Europe
43,Univ. of California - Santa Barbara,64.75,USA,North America
44,Tsinghua University,65.25,China,Asia
45,California Institute of Technology,70.5,USA,North America
46,Hebrew University of Jerusalem,71.0,Israel,Asia
47,Technion,71.75,Israel,Asia
48,Stony Brook University,73.5,USA,North America
49,University of Chicago,74.75,USA,North America
50,University of Wisconsin - Madison,75.75,USA,North America
51,University of Cambridge,75.75,UK,Europe
52,Università della Svizzera italiana,77.25,Switzerland,Europe
53,Purdue University,78.75,USA,North America
54,University of Freiburg,80.25,Germany,Europe
55,University of North Carolina,81.0,USA,North America
56,Western University,81.75,Canada,North America
57,Brown University,82.0,USA,North America
58,Yale University,83.5,USA,North America
59,LMU Munich,83.75,Germany,Europe
60,University of Tennessee,84.0,USA,North America
61,University of Melbourne,84.5,Australia,Australia
62,University of Utah,85.5,USA,North America
63,Univ. of California - Davis,85.5,USA,North America
64,University of Rochester,85.75,USA,North America
65,University of Notre Dame,87.0,USA,North America
66,Vanderbilt University,88.25,USA,North America
67,National University of Singapore,89.0,Singapore,Asia
68,University of British Columbia,89.25,Canada,North America
69,Tel Aviv University,89.5,Israel,Asia
70,University of Kansas,90.5,USA,North America
71,RWTH Aachen,93.5,Germany,Europe
72,Rice University,94.25,USA,North America
73,KAUST,96.25,Saudi Arabia,Asia
74,Ecole Normale Superieure,96.75,France,Europe
75,Queen’s University,98.25,Canada,North America
76,KAIST,99.0,South Korea,Asia
77,Washington University in St. Louis,99.75,USA,North America
78,University of Tübingen,99.75,Germany,Europe
79,The Hong Kong Polytechnic University,101.75,Hong Kong,Asia
80,Simon Fraser University,102.5,Canada,North America
81,University of Sydney,103.0,Australia,Australia
82,Rutgers University,103.5,USA,North America
83,Indiana University,103.75,USA,North America
84,Shanghai Jiao Tong University,106.0,China,Asia
85,Victoria University of Wellington,106.25,New Zealand,Australia
86,Graz University of Technology,107.0,Austria,Europe
87,University of Manchester,107.75,UK,Europe
88,University of Stuttgart,109.0,Germany,Europe
89,University of Waterloo,111.0,Canada,North America
90,Karlsruhe Institute of Technology,112.25,Germany,Europe
91,University of Texas at Arlington,112.5,USA,North America
