Ranking,Institution,Total h-index,Country,Continent
1,Carnegie Mellon University,8245.0,USA,North America
2,Univ. of California - Berkeley,6551.0,USA,North America
3,Massachusetts Institute of Technology,5684.0,USA,North America
4,Univ. of Illinois at Urbana-Champaign,5207.0,USA,North America
5,Univ. of California - San Diego,5182.0,USA,North America
6,Georgia Institute of Technology,4233.0,USA,North America
7,University of Maryland - College Park,4191.0,USA,North America
8,University of Edinburgh,3843.0,UK,Europe
9,Stanford University,3821.0,USA,North America
10,University of Michigan,3661.0,USA,North America
11,Universidade de Lisboa,3619.0,Portugal,Europe
12,Tsinghua University,3495.0,China,Asia
13,University of Toronto,3458.0,Canada,North America
14,University of Washington,3381.0,USA,North America
15,Cornell University,3381.0,USA,North America
16,University College London,3267.0,UK,Europe
17,Northeastern University,3109.0,USA,North America
18,EPFL,3064.0,Switzerland,Europe
19,Peking University,3057.0,China,Asia
20,Indiana University,3022.0,USA,North America
21,Technion,3013.0,Israel,Asia
22,Nanyang Technological University,2962.0,Singapore,Asia
23,Columbia University,2941.0,USA,North America
24,University of Pennsylvania,2921.0,USA,North America
25,KAIST,2850.0,South Korea,Asia
26,University of Oxford,2845.0,UK,Europe
27,New York University,2826.0,USA,North America
28,Univ. of California - Irvine,2812.0,USA,North America
29,Shanghai Jiao Tong University,2765.0,China,Asia
30,University of Waterloo,2712.0,Canada,North America
31,National University of Singapore,2514.0,Singapore,Asia
32,Imperial College London,2498.0,UK,Europe
33,HKUST,2454.0,Hong Kong,Asia
34,University of Wisconsin - Madison,2431.0,USA,North America
35,Purdue University,2381.0,USA,North America
36,TU Delft,2345.0,Netherlands,Europe
37,Monash University,2323.0,Australia,Australia
38,University of Utah,2313.0,USA,North America
39,ETH Zurich,2302.0,Switzerland,Europe
40,University of Southern California,2302.0,USA,North America
41,Univ. of California - Los Angeles,2288.0,USA,North America
42,University of Melbourne,2282.0,Australia,Australia
43,Stony Brook University,2271.0,USA,North America
44,University of Colorado Boulder,2252.0,USA,North America
45,Chinese Academy of Sciences,2249.0,China,Asia
46,Pennsylvania State University,2221.0,USA,North America
47,Politecnico di Milano,2213.0,Italy,Europe
48,Max Planck Society,2190.0,Germany,Europe
49,Zhejiang University,2176.0,China,Asia
50,TU Munich,2156.0,Germany,Europe
51,University of Southampton,2147.0,UK,Europe
52,Princeton University,2138.0,USA,North America
53,Sapienza University of Rome,2125.0,Italy,Europe
54,University of British Columbia,2119.0,Canada,North America
55,University of Texas at Austin,2119.0,USA,North America
56,CUNY,2117.0,USA,North America
57,Duke University,2042.0,USA,North America
58,Texas A&M University,2003.0,USA,North America
59,Rutgers University,1925.0,USA,North America
60,University of Massachusetts Amherst,1905.0,USA,North America
61,Univ. of California - Santa Cruz,1890.0,USA,North America
62,KTH Royal Institute of Technology,1854.0,Sweden,Europe
63,Harbin Institute of Technology,1851.0,China,Asia
64,University of Cambridge,1845.0,UK,Europe
65,University of Tokyo,1844.0,Japan,Asia
66,University of Minnesota,1829.0,USA,North America
67,Chinese University of Hong Kong,1806.0,Hong Kong,Asia
68,University of Central Florida,1797.0,USA,North America
69,Graz University of Technology,1787.0,Austria,Europe
70,University of Alberta,1787.0,Canada,North America
71,Hebrew University of Jerusalem,1779.0,Israel,Asia
72,CRIStAL,1777.0,France,Europe
73,University at Buffalo,1775.0,USA,North America
74,University of Liverpool,1774.0,UK,Europe
75,Seoul National University,1771.0,South Korea,Asia
76,Harvard University,1758.0,USA,North America
77,TU Berlin,1731.0,Germany,Europe
78,Nanjing University,1711.0,China,Asia
79,KU Leuven,1689.0,Belgium,Europe
80,VU Amsterdam,1676.0,Netherlands,Europe
81,Univ. of California - Santa Barbara,1659.0,USA,North America
82,University of Queensland,1653.0,Australia,Australia
83,UESTC,1652.0,China,Asia
84,UNSW,1641.0,Australia,Australia
85,Virginia Tech,1635.0,USA,North America
86,Univ. of California - Davis,1619.0,USA,North America
87,Johns Hopkins University,1617.0,USA,North America
88,Simon Fraser University,1610.0,Canada,North America
89,Vanderbilt University,1605.0,USA,North America
90,George Mason University,1592.0,USA,North America
91,Northwestern University,1583.0,USA,North America
92,University of Salerno,1559.0,Italy,Europe
93,Radboud University,1559.0,Netherlands,Europe
94,University of North Carolina,1555.0,USA,North America
95,Rochester Institute of Technology,1554.0,USA,North America
96,Tel Aviv University,1553.0,Israel,Asia
97,University of Tennessee,1545.0,USA,North America
98,Uppsala University,1543.0,Sweden,Europe
99,Univ. of California - Riverside,1534.0,USA,North America
100,University of Copenhagen,1531.0,Denmark,Europe
101,University of Chicago,1521.0,USA,North America
102,North Carolina State University,1515.0,USA,North America
103,University of York,1508.0,UK,Europe
104,TU Wien,1506.0,Austria,Europe
105,University of Essex,1503.0,UK,Europe
106,IT University of Copenhagen,1493.0,Denmark,Europe
107,Xidian University,1486.0,China,Asia
108,TU Eindhoven,1484.0,Netherlands,Europe
109,University of Sydney,1475.0,Australia,Australia
110,University of Trento,1474.0,Italy,Europe
111,Australian National University,1468.0,Australia,Oceania
112,Oregon State University,1464.0,USA,North America
113,University of Montreal,1463.0,Canada,North America
114,University of Pittsburgh,1458.0,USA,North America
115,University of Texas at Dallas,1456.0,USA,North America
116,Weizmann Institute of Science,1413.0,Israel,Asia
117,University of Kent,1413.0,UK,Europe
118,University of Sheffield,1410.0,UK,Europe
